player_name,season,real_fantasy_points,predicted_fantasy_points,error,abs_error
Puka Nacua,2025,351.90000000000003,257.35236,-94.54764404296878,94.54764404296878
Matthew Stafford,2025,344.78,260.3886,-84.39138916015622,84.39138916015622
Trevor Lawrence,2025,336.86,258.63162,-78.22837768554689,78.22837768554689
Jaxon Smith-Njigba,2025,310.3,240.34544,-69.95455627441407,69.95455627441407
Christian McCaffrey,2025,393.4,340.36047,-53.03952636718748,53.03952636718748
Dak Prescott,2025,309.96,258.0419,-51.918099365234355,51.918099365234355
Alvin Kamara,2025,71.8,122.77944,50.9794418334961,50.9794418334961
Drake Maye,2025,339.18,289.74805,-49.43195312500001,49.43195312500001
Tony Pollard,2025,133.6,179.4105,45.81050720214844,45.81050720214844
Justin Fields,2025,59.660000000000004,102.985825,43.325824584960934,43.325824584960934
Kyle Monangai,2025,53.5,96.09857,42.59857177734375,42.59857177734375
Bijan Robinson,2025,344.4,302.8538,-41.54620971679685,41.54620971679685
Kimani Vidal,2025,44.0,85.31763,41.317626953125,41.317626953125
Ja'Marr Chase,2025,265.2,225.3729,-39.827105712890614,39.827105712890614
Brock Purdy,2025,130.18,90.59685,-39.58315246582032,39.58315246582032
Jahmyr Gibbs,2025,331.6,292.88077,-38.7192321777344,38.7192321777344
Isiah Pacheco,2025,42.4,79.85007,37.450067138671876,37.450067138671876
George Pickens,2025,223.0,185.78555,-37.214447021484375,37.214447021484375
J.K. Dobbins,2025,101.1,137.78465,36.68465270996094,36.68465270996094
Josh Allen,2025,333.86,297.76877,-36.09123168945314,36.09123168945314
Jacory Croskey-Merritt,2025,17.6,53.147804,35.547804260253905,35.547804260253905
Kareem Hunt,2025,64.3,99.10262,34.80262298583985,34.80262298583985
Amon-Ra St. Brown,2025,261.1,226.31602,-34.783975219726585,34.783975219726585
Aaron Jones Sr.,2025,49.5,83.40481,33.904808044433594,33.904808044433594
Nick Chubb,2025,32.8,65.3769,32.576899719238284,32.576899719238284
Nico Collins,2025,145.4,112.83754,-32.56246032714844,32.56246032714844
Blake Corum,2025,18.6,50.62232,32.022318267822264,32.022318267822264
Woody Marks,2025,60.1,92.00244,31.90244140625,31.90244140625
David Montgomery,2025,109.32,140.94699,31.626990966796882,31.626990966796882
Jared Goff,2025,293.16,261.6058,-31.55419555664065,31.55419555664065
Tyler Shough,2025,118.5,87.766174,-30.73382568359375,30.73382568359375
Spencer Rattler,2025,92.68,122.85782,30.177818603515618,30.177818603515618
Quinshon Judkins,2025,109.3,139.00766,29.707659912109378,29.707659912109378
Kenneth Walker III,2025,88.7,117.74094,29.040936279296872,29.040936279296872
Kendre Miller,2025,10.8,39.293587,28.49358673095703,28.49358673095703
Wan'Dale Robinson,2025,47.8,74.145836,26.345835876464847,26.345835876464847
Zay Flowers,2025,85.2,111.39133,26.191326904296872,26.191326904296872
Courtland Sutton,2025,53.0,78.85289,25.852890014648438,25.852890014648438
Chuba Hubbard,2025,52.0,77.7067,25.706703186035156,25.706703186035156
Michael Penix Jr.,2025,59.92,85.49351,25.573507385253905,25.573507385253905
Jonathan Taylor,2025,347.5,322.0501,-25.44989013671875,25.44989013671875
Caleb Williams,2025,299.48,274.8993,-24.580708007812518,24.580708007812518
Jacoby Brissett,2025,150.46,126.31625,-24.143746337890633,24.143746337890633
Tyrod Taylor,2025,3.38,27.295795,23.91579544067383,23.91579544067383
Breece Hall,2025,168.06,191.8389,23.778897705078123,23.778897705078123
Keenan Allen,2025,75.10000000000001,98.6669,23.566900634765616,23.566900634765616
