"player_name","position","adp","times_drafted","high","low","stdev","total_drafts","start_date","end_date"
"Jahmyr Gibbs","RB",1.6,765,1,4,0.7,4460,"2026-07-28","2026-08-04"
"Jahmyr Gibbs","RB",1.6,765,1,4,0.7,4460,"2026-07-28","2026-08-04"
"Bijan Robinson","RB",2,553,1,4,0.8,4460,"2026-07-28","2026-08-04"
"Bijan Robinson","RB",2,553,1,4,0.8,4460,"2026-07-28","2026-08-04"
"Puka Nacua","WR",2.7,184,1,6,0.9,4460,"2026-07-28","2026-08-04"
"Puka Nacua","WR",2.7,184,1,6,0.9,4460,"2026-07-28","2026-08-04"
"Ja'Marr Chase","WR",3.9,1011,1,7,1,4460,"2026-07-28","2026-08-04"
"Ja'Marr Chase","WR",3.9,1011,1,7,1,4460,"2026-07-28","2026-08-04"
"Christian McCaffrey","RB",5.3,493,1,10,1.3,4460,"2026-07-28","2026-08-04"
"Christian McCaffrey","RB",5.3,493,1,10,1.3,4460,"2026-07-28","2026-08-04"
"Jaxon Smith-Njigba","WR",5.9,583,2,11,1.2,4460,"2026-07-28","2026-08-04"
"Jaxon Smith-Njigba","WR",5.9,583,2,11,1.2,4460,"2026-07-28","2026-08-04"
"Amon-Ra St. Brown","WR",7.2,611,3,11,1.3,4460,"2026-07-28","2026-08-04"
"Amon-Ra St. Brown","WR",7.2,611,3,11,1.3,4460,"2026-07-28","2026-08-04"
"Jonathan Taylor","RB",7.6,677,3,13,1.6,4460,"2026-07-28","2026-08-04"
"Jonathan Taylor","RB",7.6,677,3,13,1.6,4460,"2026-07-28","2026-08-04"
"De'Von Achane","RB",9.4,280,4,15,1.8,4460,"2026-07-28","2026-08-04"
"De'Von Achane","RB",9.4,280,4,15,1.8,4460,"2026-07-28","2026-08-04"
"Drake London","WR",10.8,198,7,16,1.6,4460,"2026-07-28","2026-08-04"
"Drake London","WR",10.8,198,7,16,1.6,4460,"2026-07-28","2026-08-04"
"CeeDee Lamb","WR",11.3,622,6,18,2,4460,"2026-07-28","2026-08-04"
"CeeDee Lamb","WR",11.3,622,6,18,2,4460,"2026-07-28","2026-08-04"
"Rashee Rice","WR",11.5,123,7,16,1.6,4460,"2026-07-28","2026-08-04"
"Rashee Rice","WR",11.5,123,7,16,1.6,4460,"2026-07-28","2026-08-04"
"Chase Brown","RB",12.3,546,6,21,2.2,4460,"2026-07-28","2026-08-04"
"Chase Brown","RB",12.3,546,6,21,2.2,4460,"2026-07-28","2026-08-04"
"Justin Jefferson","WR",13.3,622,6,20,2.7,4460,"2026-07-28","2026-08-04"
"Justin Jefferson","WR",13.3,622,6,20,2.7,4460,"2026-07-28","2026-08-04"
"Ashton Jeanty","RB",13.8,620,5,21,3.1,4460,"2026-07-28","2026-08-04"
"Ashton Jeanty","RB",13.8,620,5,21,3.1,4460,"2026-07-28","2026-08-04"
"James Cook III","RB",15.3,1169,7,23,2.9,4460,"2026-07-28","2026-08-04"
"James Cook III","RB",15.3,1169,7,23,2.9,4460,"2026-07-28","2026-08-04"
"Derrick Henry","RB",16.1,276,7,24,3.2,4460,"2026-07-28","2026-08-04"
"Derrick Henry","RB",16.1,276,7,24,3.2,4460,"2026-07-28","2026-08-04"
"A.J. Brown","WR",17.3,585,9,24,2.9,4460,"2026-07-28","2026-08-04"
"A.J. Brown","WR",17.3,585,9,24,2.9,4460,"2026-07-28","2026-08-04"
"Saquon Barkley","RB",18.8,998,10,27,3.1,4460,"2026-07-28","2026-08-04"
"Saquon Barkley","RB",18.8,998,10,27,3.1,4460,"2026-07-28","2026-08-04"
"Omarion Hampton","RB",20,1080,10,30,3.5,4460,"2026-07-28","2026-08-04"
"Omarion Hampton","RB",20,1080,10,30,3.5,4460,"2026-07-28","2026-08-04"
"Chris Olave","WR",20.2,181,14,27,2.3,4460,"2026-07-28","2026-08-04"
